,日期,断面,lon,lat,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
56,NA,云池(白洋),111.4927,30.4087,0.897700012,0.909099996,0.989400029,0.9472,1.720499992,1.416700006,1.111700058,0.046509,2.529855
57,NA,寸滩,106.5996,29.6149,0.996450007,1.028699994,1.157400012,1.118199944,1.860249996,1.557250023,1.230049968,0.095337,1.897721
58,NA,清江大桥,111.4304,30.3997,0.986999989,1.006100059,1.097100019,1.086400032,1.604500055,1.406900048,1.248800039,0.024573,2.642836
59,NA,清溪场,107.4545,29.7967,0.871100008,0.912100017,1.062999964,1.013399959,1.255699992,1.146700025,1.033599973,0.091662,2.045891
60,NA,纳溪大渡口,105.2302,28.7511,0.896499991,0.927200019,1.025599957,0.995299995,1.769999981,1.455800056,1.154899955,0.067497,0.939763
61,NA,白帝城,109.5593,31.0377,0.9921,1.000749946,1.09920001,1.070649981,1.758350015,1.583799958,1.255249977,0.061321,1.803792
62,NA,和尚山,106.5334,29.5071,1.016549945,1.069849968,1.177999973,1.138849974,1.006049991,0.952250004,0.913900018,0.04669,1.308303
63,NA,江津大桥,106.2569,29.2639,0.943099976,0.949899971,1.000699997,0.961000025,1.653499961,1.367300034,1.163499951,0.073947,1.160278
64,NA,寸滩,106.5996,29.6149,0.952099979,0.972649992,1.080800056,1.061650038,1.787050009,1.411900043,1.149749994,0.098132,1.581166
65,NA,白帝城,109.5593,31.0377,0.941200018,0.965900004,1.086699963,1.084849954,1.738399982,1.522199988,1.180799961,0.091133,2.242617
66,NA,云池(白洋),111.4927,30.4087,0.875999987,0.888100028,0.968500018,0.924300015,1.826799989,1.345600009,1.021700025,0.070733,1.306088
67,NA,南津关,111.2706,30.7639,0.890399992,0.898000002,0.976899981,0.916100025,1.569900036,1.254199982,0.994799972,0.095531,0.982497
68,NA,晒网坝,108.4766,30.839,0.974099994,0.999000013,1.122799993,1.147799969,0.851800025,0.747600019,0.739000022,0.099048,1.752548
69,NA,丰收坝,106.4615,29.3897,0.961199999,1.006700039,1.123600006,1.12590003,0.922399998,0.796599984,0.771600008,0.103249,1.809149
70,NA,纳溪大渡口,105.2302,28.7511,0.90170002,0.928799987,1.034700036,1.004500031,1.739500046,1.45720005,1.136100054,0.053043,1.408875
